name,url,remote_testing,adaptive_support,duration_minutes,test_type,search_text,test_type,job_levels,languages,description
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,Yes,No,25.0,"Knowledge & Skills, Simulations","Microsoft PowerPoint 365 - Essentials (New). The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and includes the following topics: Applying Transitions and Animations, Creating, Managing, and Saving Presentations, Formatting Presentation Content, Reviewing, Collaborating, and Delivering Presentations, and Working with Multimedia Elements, Images, and Illustrations.. Job Levels: Entry-Level. Test Includes: Knowledge & Skills, Simulations. Duration: 25 minutes. Remote: Yes. Adaptive: No","K, S",Entry-Level,English (USA),"The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and includes the following topics: Applying Transitions and Animations, Creating, Managing, and Saving Presentations, Formatting Presentation Content, Reviewing, Collaborating, and Delivering Presentations, and Working with Multimedia Elements, Images, and Illustrations."
Microsoft SQL Server 2014 Programming,https://www.shl.com/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/,Yes,Yes,35.0,Knowledge & Skills,"Microsoft SQL Server 2014 Programming. The Microsoft SQL Server 2014 Programming test measures knowledge of Microsoft Structure Query Language (SQL) Server 2014 Programming. Designed for experienced database programmers, this test covers the following topics: Beyond Relational, Control Flow, Data Types and NULL, Database Design, Developer Tools, Modifying Data, Running Queries, and Writing Queries.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 35 minutes. Remote: Yes. Adaptive: Yes",K,"Mid-Professional, Professional Individual Contributor",English (USA),"The Microsoft SQL Server 2014 Programming test measures knowledge of Microsoft Structure Query Language (SQL) Server 2014 Programming. Designed for experienced database programmers, this test covers the following topics: Beyond Relational, Control Flow, Data Types and NULL, Database Design, Developer Tools, Modifying Data, Running Queries, and Writing Queries."
Microsoft Windows Server 2012 Administration,https://www.shl.com/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,Yes,Yes,35.0,Knowledge & Skills,"Microsoft Windows Server 2012 Administration. The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators, this test includes the following topics: Active Directory, Administrative Tasks, Computer Properties, Configuration and Management, Design and Installation, Local Security Policy, Networking, Security, and Server Management.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 35 minutes. Remote: Yes. Adaptive: Yes",K,"Mid-Professional, Professional Individual Contributor",English (USA),"The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators, this test includes the following topics: Active Directory, Administrative Tasks, Computer Properties, Configuration and Management, Design and Installation, Local Security Policy, Networking, Security, and Server Management."
Microsoft Word 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,Yes,No,25.0,"Knowledge & Skills, Simulations","Microsoft Word 365 - Essentials (New). The Microsoft Word 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents.. Job Levels: Entry-Level. Test Includes: Knowledge & Skills, Simulations. Duration: 25 minutes. Remote: Yes. Adaptive: No","K, S",Entry-Level,English (USA),"The Microsoft Word 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents."
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,Yes,No,35.0,"Simulations, Knowledge & Skills","Microsoft Word 365 (New). The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents.. Job Levels: Entry-Level. Test Includes: Simulations, Knowledge & Skills. Duration: 35 minutes. Remote: Yes. Adaptive: No","S, K",Entry-Level,English (USA),"The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents."
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,Yes,No,12.0,Knowledge & Skills,"Mineral Engineering (New). Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical thermodynamics, mineralogy, petrology and stratigraphy.. Job Levels: Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Knowledge & Skills. Duration: 12 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),"Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical thermodynamics, mineralogy, petrology and stratigraphy."
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,Yes,No,16.0,Knowledge & Skills,"Mining Engineering (New). Multi-choice test that measures the knowledge of mining methods, mineral processing, mining machinery, mineralogy, petrology and stratigraphy.. Job Levels: Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Knowledge & Skills. Duration: 16 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),"Multi-choice test that measures the knowledge of mining methods, mineral processing, mining machinery, mineralogy, petrology and stratigraphy."
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,Yes,No,,Knowledge & Skills,"Mobility (New). Multi-choice test that measures the knowledge on topics related to mobility and mobile computing.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),Multi-choice test that measures the knowledge on topics related to mobility and mobile computing.
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,Yes,No,,Knowledge & Skills,"Molecular Biology (New). Multi-choice test that measures the knowledge of molecular genetics, transgenics, rDNA technology, chromosomal genetics, transformation and related processes.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of molecular genetics, transgenics, rDNA technology, chromosomal genetics, transformation and related processes."
MongoDB (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,Yes,No,,Knowledge & Skills,"MongoDB (New). Multi-choice test that measures the conceptual knowledge of MongoDB like sharding, replication, indexing, security and storage. It also checks the knowledge of MongoDB queries and data models.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the conceptual knowledge of MongoDB like sharding, replication, indexing, security and storage. It also checks the knowledge of MongoDB queries and data models."
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,25.0,Personality & Behavior,"Motivation Questionnaire MQM5. By understanding what motivates their staff, managers can unlock each individual’s full potential and direct their energies more constructively. This questionnaire measures 18 dimensions of an individual’s motivation, and provides a comprehensive understanding of those situations which increase and reduce their motivation.. Job Levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Personality & Behavior. Duration: 25 minutes. Remote: Yes. Adaptive: No",P,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Latin American Spanish, Portuguese (Brazil), Latvian, Danish, Indonesian, Swedish, Turkish, Portuguese, French (Canada), Japanese, Chinese Traditional, Flemish, French (Belgium), Spanish, Finnish, French, German, Greek, Italian, Polish, Romanian, Russian, English International, English (USA), Chinese Simplified, Dutch, Hungarian, Norwegian, Czech, Slovak, English (Australia), Arabic, Korean","By understanding what motivates their staff, managers can unlock each individual’s full potential and direct their energies more constructively. This questionnaire measures 18 dimensions of an individual’s motivation, and provides a comprehensive understanding of those situations which increase and reduce their motivation."
MQ Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,Yes,No,,Personality & Behavior,"MQ Candidate Motivation Report. The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an individuals motivators and demotivators at work.. Job Levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English International, English (USA), Chinese Simplified",The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an individuals motivators and demotivators at work.
MQ Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,Yes,No,,Personality & Behavior,"MQ Employee Motivation Report. The MQ Employee Motivation Report is ideal for use by line managers and those concerned with employee’s performance and well being, the Employee Motivation Report provides an in-depth and easy-to-understand evaluation of what motivates and de-motivates someone. It also offers a comprehensive list of tips and suggestions for managing the employee’s strongest motivators and demotivators.. Job Levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Chinese Simplified, English International, English (USA)","The MQ Employee Motivation Report is ideal for use by line managers and those concerned with employee’s performance and well being, the Employee Motivation Report provides an in-depth and easy-to-understand evaluation of what motivates and de-motivates someone. It also offers a comprehensive list of tips and suggestions for managing the employee’s strongest motivators and demotivators."
MQ Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/,Yes,No,,Personality & Behavior,"MQ Motivation Report Pack. The MQ Report pack consists of the Profile Chart, Employee Motivation Report and the Candidate Report and is a cost effective way of ensuring that your organisation takes a comprehensive approach to understanding what motivates its employees.. Job Levels: General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager","Chinese Simplified, English International, English (USA)","The MQ Report pack consists of the Profile Chart, Employee Motivation Report and the Candidate Report and is a cost effective way of ensuring that your organisation takes a comprehensive approach to understanding what motivates its employees."
MQ Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/,Yes,No,,Personality & Behavior,"MQ Profile. The profile chart is the Sten score graphical output of the MQ. It clearly shows the individual’s motivational drivers compared to the selected norm group as well as highlighting any unique scores.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.. Job Levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Flemish, French (Belgium), Spanish, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Italian, Norwegian, Polish, Portuguese, Russian, Swedish, English International, English (USA), Romanian, Indonesian, Turkish, Chinese Simplified, Hungarian","The profile chart is the Sten score graphical output of the MQ. It clearly shows the individual’s motivational drivers compared to the selected norm group as well as highlighting any unique scores.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms."
MS Access (New),https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/,Yes,No,,Knowledge & Skills,"MS Access (New). Multi-choice test that measures the knowledge and basic understanding of MS Access programming.. Job Levels: Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),Multi-choice test that measures the knowledge and basic understanding of MS Access programming.
MS Excel (New),https://www.shl.com/solutions/products/product-catalog/view/ms-excel-new/,Yes,No,,Knowledge & Skills,"MS Excel (New). Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data.. Job Levels: Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English (USA), Spanish, French, Portuguese (Brazil)","Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data."
MS Office Basic Computer Literacy (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,Yes,No,,Knowledge & Skills,"MS Office Basic Computer Literacy (New). Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor","English (USA), Spanish, Portuguese (Brazil), French","Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer."
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,Yes,No,,Simulations,"MS Office Basic Computer Literacy (Sim) (New). Simulation based test that measures the ability to use basic computer operations, browser navigation, MS office and email.. Job Levels: Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Simulations. Duration: Not Specified. Remote: Yes. Adaptive: No",S,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),"Simulation based test that measures the ability to use basic computer operations, browser navigation, MS office and email."
MS PowerPoint (New),https://www.shl.com/solutions/products/product-catalog/view/ms-powerpoint-new/,Yes,No,,Knowledge & Skills,"MS PowerPoint (New). Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats.. Job Levels: Entry-Level, Front Line Manager, Graduate, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Entry-Level, Front Line Manager, Graduate, Mid-Professional, Professional Individual Contributor, Supervisor","English (USA), French, Spanish, Portuguese (Brazil)","Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats."
MS Word (New),https://www.shl.com/solutions/products/product-catalog/view/ms-word-new/,Yes,No,,Knowledge & Skills,"MS Word (New). Multi-choice test that measures the ability to use MS Word to record and save textual information.. Job Levels: Professional Individual Contributor, Supervisor, Mid-Professional, Entry-Level, Graduate, Manager. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Professional Individual Contributor, Supervisor, Mid-Professional, Entry-Level, Graduate, Manager","Spanish, French, Portuguese (Brazil), English (USA)",Multi-choice test that measures the ability to use MS Word to record and save textual information.
MuleSoft Development (New),https://www.shl.com/solutions/products/product-catalog/view/mulesoft-development-new/,Yes,No,17.0,Knowledge & Skills,"MuleSoft Development (New). Multi-choice test that measures the knowledge of MuleSoft basic concepts, APIs and web services, Mule flow and scope, connectors and deployment.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 17 minutes. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of MuleSoft basic concepts, APIs and web services, Mule flow and scope, connectors and deployment."
Multitasking Ability,https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/,Yes,No,20.0,"Ability & Aptitude, Knowledge & Skills, Simulations","Multitasking Ability. The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching between tasks.  This test is a face-valid, split-screen simulation that is designed to assess multitasking ability. It captures the dynamic nature of the working environment by presenting the candidate with multiple types of items in a timed format. Candidates will be required to complete problem-solving items that are presented on one side of the screen, while at the same time attending to emails that are presented within an email inbox on the other side of the screen.. Job Levels: Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor. Test Includes: Ability & Aptitude, Knowledge & Skills, Simulations. Duration: 20 minutes. Remote: Yes. Adaptive: No","A, K, S","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),"The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching between tasks.  This test is a face-valid, split-screen simulation that is designed to assess multitasking ability. It captures the dynamic nature of the working environment by presenting the candidate with multiple types of items in a timed format. Candidates will be required to complete problem-solving items that are presented on one side of the screen, while at the same time attending to emails that are presented within an email inbox on the other side of the screen."
Networking and Implementation (New),https://www.shl.com/solutions/products/product-catalog/view/networking-and-implementation-new/,Yes,No,,Knowledge & Skills,"Networking and Implementation (New). Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks."
Node.js (New),https://www.shl.com/solutions/products/product-catalog/view/node-js-new/,Yes,No,,Knowledge & Skills,"Node.js (New). Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express framework.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express framework."
Nursing (New),https://www.shl.com/solutions/products/product-catalog/view/nursing-new/,Yes,No,11.0,Knowledge & Skills,"Nursing (New). Multi-choice test that measures the knowledge of carrying out various nursing tasks.. Job Levels: Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Knowledge & Skills. Duration: 11 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),Multi-choice test that measures the knowledge of carrying out various nursing tasks.
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Yes,No,25.0,Personality & Behavior,"Occupational Personality Questionnaire OPQ32r. The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace.. Job Levels: Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive. Test Includes: Personality & Behavior. Duration: 25 minutes. Remote: Yes. Adaptive: No",P,"Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive","English International, French (Canada), Portuguese, Chinese Simplified, Chinese Traditional, French (Belgium), French, Polish, Slovak, Czech, Danish, Flemish, Dutch, Estonian, Finnish, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Norwegian, English (USA), Arabic, Portuguese (Brazil), Spanish, Latin American Spanish, Romanian, Russian, Serbian, Swedish, Thai, Turkish, Malay, Vietnamese","The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace."
Operations Management (New),https://www.shl.com/solutions/products/product-catalog/view/operations-management-new/,Yes,No,,Knowledge & Skills,"Operations Management (New). Multi-choice test that measures the knowledge of planning, product design and development, quality management and supply chain management.. Job Levels: Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),"Multi-choice test that measures the knowledge of planning, product design and development, quality management and supply chain management."
OPQ Candidate Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-plus-report/,Yes,No,,Personality & Behavior,"OPQ Candidate Plus Report. A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.. Job Levels: Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Finnish, English International",A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.
OPQ Candidate Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-report-2-0/,Yes,No,,Personality & Behavior,OPQ Candidate Report 2.0. A brief narrative OPQ (Occupational Personality Questionnaire) report structure around 3 OPQ profile sections which can be given to candidates to keep after a feedback session. Job Levels: . Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No,P,,,A brief narrative OPQ (Occupational Personality Questionnaire) report structure around 3 OPQ profile sections which can be given to candidates to keep after a feedback session
OPQ Emotional Intelligence Report,https://www.shl.com/solutions/products/product-catalog/view/opq-emotional-intelligence-report/,Yes,No,,Personality & Behavior,"OPQ Emotional Intelligence Report. This OPQ (Occupational Personality Questionnaire) report explores how a person manages feelings and relationships with other people.  It is intended for use in a development setting.. Job Levels: Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Portuguese (Brazil), Danish, Dutch, Finnish, French (Canada), French, Latin American Spanish, Portuguese, Swedish, English International, English (USA)",This OPQ (Occupational Personality Questionnaire) report explores how a person manages feelings and relationships with other people.  It is intended for use in a development setting.
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,Yes,No,,Personality & Behavior,"OPQ Leadership Report. This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential.  It is based on SHL's leading edge Leadership Model, providing a competency based approach to leadership.. Job Levels: Director, Executive, Manager, Mid-Professional, Professional Individual Contributor. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"Director, Executive, Manager, Mid-Professional, Professional Individual Contributor","Dutch, English International, English (USA), Romanian, Portuguese, French, German, Swedish, Chinese Simplified, Portuguese (Brazil), Japanese, Polish, Russian, Latin American Spanish","This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential.  It is based on SHL's leading edge Leadership Model, providing a competency based approach to leadership."
OPQ Manager Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report/,Yes,No,,Personality & Behavior,"OPQ Manager Plus Report. This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers.  It uses clear succinct bullets and tables for ease of interpretation.  It provide simple comments on each of the personality traits.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.. Job Levels: Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","Romanian, Czech, Serbian, Portuguese (Brazil), Spanish, Chinese Traditional, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Portuguese, Russian, Chinese Simplified, Swedish, Thai, Turkish, English International, English (USA)","This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers.  It uses clear succinct bullets and tables for ease of interpretation.  It provide simple comments on each of the personality traits.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms."
OPQ Manager Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/,Yes,No,,Personality & Behavior,"OPQ Manager Plus Report 2.0. This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provides simple comments on each of the personality traits.. Job Levels: Supervisor, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Director, Entry-Level. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"Supervisor, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Director, Entry-Level",,This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provides simple comments on each of the personality traits.
